original_idx,Condition,Score_RootCause_1_5_A,Score_Evidence_1_5_A,Score_CWE_1_5_A,Score_Repair_1_5_A,Score_UnsupportedClaim_0_1_A,Score_RootCause_1_5_B,Score_Evidence_1_5_B,Score_CWE_1_5_B,Score_Repair_1_5_B,Score_UnsupportedClaim_0_1_B,Score_RootCause_1_5_avg,Score_Evidence_1_5_avg,Score_CWE_1_5_avg,Score_Repair_1_5_avg,Score_UnsupportedClaim_0_1_avg
13490,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0
12335,A1_FunctionOnly,5.0,5.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,0.0,5.0,4.0,1.0,1.0,0.5
18757,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10505,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
1173,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15362,A4_Oracle,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,4.5,0.5
10784,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
9129,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.5,3.0,1.5,1.0,1.0
1173,A2_FunctionLine,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
14848,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
5147,A4_Oracle,2.0,5.0,3.0,4.0,1.0,3.0,5.0,3.0,4.0,1.0,2.5,5.0,3.0,4.0,1.0
9218,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10754,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
6260,A2_FunctionLine,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
3856,A4_Oracle,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
5147,A1_FunctionOnly,3.0,5.0,3.0,1.0,0.0,2.0,5.0,3.0,2.0,0.0,2.5,5.0,3.0,1.5,0.0
5147,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,0.5
15939,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15939,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18052,A4_Oracle,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,1.0
11554,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
13204,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,2.0,0.5
10505,A4_Oracle,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
13822,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14212,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0
12943,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
13490,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
9129,A1_FunctionOnly,3.0,5.0,3.0,5.0,1.0,3.0,5.0,3.0,2.0,1.0,3.0,5.0,3.0,3.5,1.0
10505,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
17592,A4_Oracle,1.0,3.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0
8451,A1_FunctionOnly,5.0,5.0,3.0,5.0,0.0,5.0,5.0,3.0,3.0,0.0,5.0,5.0,3.0,4.0,0.0
1188,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0
8152,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14212,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
14212,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
9535,A4_Oracle,2.0,3.0,5.0,1.0,1.0,1.0,3.0,5.0,1.0,0.0,1.5,3.0,5.0,1.0,0.5
14020,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
16923,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1173,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
17365,A2_FunctionLine,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
13822,A4_Oracle,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
17365,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8451,A4_Oracle,2.0,3.0,5.0,1.0,1.0,3.0,5.0,5.0,2.0,1.0,2.5,4.0,5.0,1.5,1.0
14848,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
15429,A4_Oracle,2.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,2.5,5.0,5.0,1.0,1.0
12943,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
12335,A4_Oracle,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,0.0
15939,A4_Oracle,5.0,5.0,5.0,1.0,1.0,5.0,5.0,5.0,1.0,0.0,5.0,5.0,5.0,1.0,0.5
12815,A4_Oracle,1.0,5.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
12489,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17966,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
16115,A2_FunctionLine,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
8152,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17966,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
16051,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7501,A2_FunctionLine,5.0,3.0,5.0,3.0,1.0,5.0,3.0,5.0,2.0,1.0,5.0,3.0,5.0,2.5,1.0
9535,A3_FunctionLineCWE,5.0,5.0,3.0,5.0,0.0,5.0,4.0,3.0,5.0,1.0,5.0,4.5,3.0,5.0,0.5
12363,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
18319,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8451,A2_FunctionLine,2.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.5,3.0,3.0,1.0,1.0
9129,A4_Oracle,4.0,5.0,5.0,1.0,1.0,3.0,4.0,5.0,1.0,1.0,3.5,4.5,5.0,1.0,1.0
6260,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
13822,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17365,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
5147,A2_FunctionLine,1.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,0.0
18052,A3_FunctionLineCWE,4.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,3.5,5.0,3.0,1.0,1.0
12489,A4_Oracle,1.0,3.0,3.0,1.0,0.0,1.0,3.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,0.5
12489,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,1.0,1.0,0.0
14848,A3_FunctionLineCWE,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
12815,A1_FunctionOnly,2.0,5.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.5,4.0,1.0,2.0,1.0
14848,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8937,A4_Oracle,3.0,5.0,5.0,3.0,1.0,5.0,5.0,5.0,4.0,1.0,4.0,5.0,5.0,3.5,1.0
15429,A3_FunctionLineCWE,3.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0
17365,A4_Oracle,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
8210,A4_Oracle,3.0,5.0,5.0,5.0,1.0,4.0,5.0,5.0,5.0,0.0,3.5,5.0,5.0,5.0,0.5
9218,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
9535,A2_FunctionLine,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
13204,A4_Oracle,1.0,3.0,1.0,1.0,0.0,1.0,3.0,3.0,5.0,0.0,1.0,3.0,2.0,3.0,0.0
12417,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
8772,A3_FunctionLineCWE,3.0,5.0,3.0,3.0,0.0,3.0,5.0,3.0,2.0,0.0,3.0,5.0,3.0,2.5,0.0
10505,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
17592,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9386,A3_FunctionLineCWE,1.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0
16115,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
17966,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16021,A2_FunctionLine,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
16298,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0
16923,A3_FunctionLineCWE,1.0,1.0,1.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,2.0,1.0,1.5,0.0
18052,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
3856,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
11554,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0
18757,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
8772,A2_FunctionLine,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,0.0,1.0,5.0,5.0,1.0,0.5
16923,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11554,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,1.0
12417,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
16298,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
16021,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
16298,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
16051,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16923,A4_Oracle,2.0,5.0,5.0,2.0,1.0,2.0,5.0,3.0,1.0,1.0,2.0,5.0,4.0,1.5,1.0
8278,A4_Oracle,1.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0
13207,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1173,A4_Oracle,2.0,3.0,5.0,1.0,0.0,1.0,3.0,5.0,1.0,1.0,1.5,3.0,5.0,1.0,0.5
18052,A2_FunctionLine,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.5,1.0,1.0,1.0
10754,A3_FunctionLineCWE,2.0,5.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,1.5,5.0,1.0,1.0,0.5
12834,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16021,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
13207,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9218,A4_Oracle,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0
14212,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
1188,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10784,A4_Oracle,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
8278,A2_FunctionLine,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
9535,A1_FunctionOnly,2.0,2.0,3.0,2.0,0.0,2.0,1.0,3.0,2.0,1.0,2.0,1.5,3.0,2.0,0.5
10754,A1_FunctionOnly,2.0,3.0,3.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.5,1.0
14020,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
8772,A4_Oracle,3.0,3.0,5.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0
6260,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
17592,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
16115,A4_Oracle,3.0,5.0,3.0,1.0,1.0,3.0,5.0,3.0,3.0,1.0,3.0,5.0,3.0,2.0,1.0
7501,A3_FunctionLineCWE,5.0,5.0,3.0,1.0,0.0,5.0,5.0,3.0,5.0,0.0,5.0,5.0,3.0,3.0,0.0
13822,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
13207,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,4.0,1.0,1.0
8937,A2_FunctionLine,4.0,5.0,1.0,5.0,1.0,3.0,5.0,1.0,5.0,1.0,3.5,5.0,1.0,5.0,1.0
3856,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.5
13204,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
10754,A2_FunctionLine,1.0,5.0,3.0,1.0,0.0,2.0,5.0,3.0,2.0,0.0,1.5,5.0,3.0,1.5,0.0
9386,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15429,A2_FunctionLine,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0,3.0,5.0,5.0,1.0,1.0
8152,A4_Oracle,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0
16021,A4_Oracle,1.0,5.0,5.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0
17966,A4_Oracle,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
8772,A1_FunctionOnly,3.0,5.0,5.0,2.0,1.0,5.0,5.0,5.0,2.0,0.0,4.0,5.0,5.0,2.0,0.5
15362,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,5.0,1.0,1.0,0.5
12815,A2_FunctionLine,1.0,5.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0
7501,A4_Oracle,5.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,0.5
16051,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
8278,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9386,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0
18757,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
8210,A1_FunctionOnly,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
12363,A4_Oracle,1.0,5.0,3.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0,1.0,5.0,3.0,1.0,0.0
12815,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
12417,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18319,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
11554,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
17592,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
12417,A4_Oracle,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
17947,A1_FunctionOnly,3.0,5.0,3.0,5.0,0.0,5.0,5.0,3.0,5.0,0.0,4.0,5.0,3.0,5.0,0.0
13207,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12834,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9218,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15362,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
10784,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
8152,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
15429,A1_FunctionOnly,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
14020,A4_Oracle,3.0,5.0,5.0,3.0,1.0,3.0,3.0,5.0,3.0,1.0,3.0,4.0,5.0,3.0,1.0
12943,A3_FunctionLineCWE,1.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
16051,A4_Oracle,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0,1.0,5.0,5.0,1.0,1.0
8210,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,1.0,2.0,1.0
12489,A2_FunctionLine,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5
12363,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
12834,A1_FunctionOnly,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0
13490,A4_Oracle,1.0,3.0,3.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0
18757,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
15939,A3_FunctionLineCWE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
7881,A3_FunctionLineCWE,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
14020,A2_FunctionLine,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0
7881,A2_FunctionLine,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0
8937,A3_FunctionLineCWE,5.0,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,4.5,1.0
15362,A1_FunctionOnly,1.0,5.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0
