original_idx,Condition,gt_cwe,pred_cwe,gt_line,pred_line,line_status,Review_ID
14848,A2_FunctionLine,CWE-362,CWE-362,		key_user_put(key->user);,key_user_put(key->user);,Exact Match,REV_022
5147,A4_Oracle,CWE-189,CWE-399,		convert_to_long_ex(item);/~/		stylearr[index++] = Z_LVAL_PP(item);,stylearr[index++] = Z_LVAL_PP(item);,Oracle,REV_023
9218,A1_FunctionOnly,CWE-416,CWE-20,"  auto resolver_cb = WTF::Bind(&ImageCapture::ResolveWithMediaTrackConstraints,/~/                               WrapPersistent(this), resolver_constraints);",settings->has_white_balance_mode = constraints.hasWhiteBalanceMode() &&,N/A,REV_024
10754,A4_Oracle,CWE-189,CWE-399,	if (vma->vm_flags & (VM_DONTEXPAND | VM_PFNMAP)) {/~/		if (new_len > old_len),if (vma->vm_flags & (VM_DONTEXPAND | VM_PFNMAP)) {,Oracle,REV_025
6260,A2_FunctionLine,CWE-119,CWE-399,{/~/    return m_uid;,return m_uid;,Partial Match,REV_026
3856,A4_Oracle,CWE-416,CWE-Other,        char added;/~/        pair->added = 0;,pair->added = 0;,Oracle,REV_027
5147,A1_FunctionOnly,CWE-189,CWE-399,		convert_to_long_ex(item);/~/		stylearr[index++] = Z_LVAL_PP(item);,stylearr[index++] = Z_LVAL_PP(item);,N/A,REV_028
5147,A3_FunctionLineCWE,CWE-189,CWE-399,		convert_to_long_ex(item);/~/		stylearr[index++] = Z_LVAL_PP(item);,stylearr[index++] = Z_LVAL_PP(item);,Partial Match,REV_029
15939,A1_FunctionOnly,CWE-264,CWE-20,"	int procfd = payload->procfd;/~/		ERROR(""error using IPC to receive notification from initial process (0)"");/~/		ERROR(""error using IPC to notify initial process for initialization (1)"");/~/		ERROR(""error using IPC to receive final notification from initial process (2)"");/~/	shutdown(ipc_socket, SHUT_RDWR);/~/	close(ipc_socket);/~/	/* set new apparmor profile/selinux context */~/		if (lsm_set_label_at(procfd, on_exec, init_ctx->lsm_label) < 0) {/~/	/* we don't need proc anymore */~/	close(procfd);","ERROR(""error using IPC to receive notification from initial process (0)"");",N/A,REV_030
15939,A2_FunctionLine,CWE-264,CWE-20,"	int procfd = payload->procfd;/~/		ERROR(""error using IPC to receive notification from initial process (0)"");/~/		ERROR(""error using IPC to notify initial process for initialization (1)"");/~/		ERROR(""error using IPC to receive final notification from initial process (2)"");/~/	shutdown(ipc_socket, SHUT_RDWR);/~/	close(ipc_socket);/~/	/* set new apparmor profile/selinux context */~/		if (lsm_set_label_at(procfd, on_exec, init_ctx->lsm_label) < 0) {/~/	/* we don't need proc anymore */~/	close(procfd);","ERROR(""error using IPC to receive notification from initial process (0)"");",Partial Match,REV_031
18052,A4_Oracle,CWE-20,CWE-476,"       softmask_save softmask = { NULL };/~/       if (image->mask)/~/               if (gstate->blendmode)/~/                       fz_begin_group(ctx, pr->dev, &bbox, NULL, 0, 0, gstate->blendmode, 1);/~/               fz_clip_image_mask(ctx, pr->dev, image->mask, &image_ctm, &bbox);/~/       }/~/       else/~/               gstate = pdf_begin_group(ctx, pr, &bbox, &softmask);/~/       if (!image->colorspace)/~/       {/~/               switch (gstate->fill.kind)/~/               case PDF_MAT_NONE:/~/                       break;/~/               case PDF_MAT_COLOR:/~/                       fz_fill_image_mask(ctx, pr->dev, image, &image_ctm,/~/                               gstate->fill.colorspace, gstate->fill.v, gstate->fill.alpha, &gstate->fill.color_params);/~/                       break;/~/               case PDF_MAT_PATTERN:/~/                       if (gstate->fill.pattern)/~/                       {/~/                               fz_clip_image_mask(ctx, pr->dev, image, &image_ctm, &bbox);/~/                               pdf_show_pattern(ctx, pr, gstate->fill.pattern, &pr->gstate[gstate->fill.gstate_num], &bbox, PDF_FILL);/~/                               fz_pop_clip(ctx, pr->dev);/~/                       }/~/                       break;/~/               case PDF_MAT_SHADE:/~/                       if (gstate->fill.shade)/~/                       {/~/                               fz_clip_image_mask(ctx, pr->dev, image, &image_ctm, &bbox);/~/                               fz_fill_shade(ctx, pr->dev, gstate->fill.shade, &pr->gstate[gstate->fill.gstate_num].ctm, gstate->fill.alpha, &gstate->fill.color_params);/~/                               fz_pop_clip(ctx, pr->dev);/~/                       }/~/                       break;/~/       else/~/               fz_fill_image(ctx, pr->dev, image, &image_ctm, gstate->fill.alpha, &gstate->fill.color_params);/~/       if (image->mask)/~/               fz_pop_clip(ctx, pr->dev);/~/               if (gstate->blendmode)/~/                       fz_end_group(ctx, pr->dev);/~/       else/~/               pdf_end_group(ctx, pr, &softmask);","softmask_save softmask = { NULL };/~/       if (image->mask)/~/                       fz_begin_group(ctx, pr->dev, &bbox, NULL, 0, 0, gstate->blendmode, 1);/~/               fz_clip_image_mask(ctx, pr->dev, image->mask, &image_ctm, &bbox);/~/       }/~/       else/~/               gstate = pdf_begin_group(ctx, pr, &bbox, &softmask);/~/       if (!image->colorspace)/~/       {/~/               case PDF_MAT_NONE:/~/                       break;/~/               case PDF_MAT_COLOR:/~/                       fz_fill_image_mask(ctx, pr->dev, image, &image_ctm,/~/                               gstate->fill.colorspace, gstate->fill.v, gstate->fill.alpha, &gstate->fill.color_params);/~/                       break;/~/               case PDF_MAT_PATTERN:/~/                       if (gstate->fill.",Oracle,REV_032
11554,A2_FunctionLine,CWE-416,CWE-399,"	int ret;/~/	ret = hns_nic_net_xmit_hw(ndev, skb,/~/				  &tx_ring_data(priv, skb->queue_mapping));/~/	if (ret == NETDEV_TX_OK) {/~/		netif_trans_update(ndev);/~/		ndev->stats.tx_bytes += skb->len;/~/		ndev->stats.tx_packets++;/~/	}/~/	return (netdev_tx_t)ret;","int ret;/~/	ret = hns_nic_net_xmit_hw(ndev, skb,/~/				  &tx_ring_data(priv, skb->queue_mapping));/~/	if (ret == NETDEV_TX_OK) {/~/		netif_trans_update(ndev);/~/		ndev->stats.tx_bytes += skb->len;/~/		ndev->stats.tx_packets++;/~/	}/~/	return (netdev_tx_t)ret;",Exact Match,REV_033
13204,A3_FunctionLineCWE,CWE-476,CWE-401,"{/~/	int ret = -EINVAL;/~/	/* init RNG */~/	big_key_rng = crypto_alloc_rng(big_key_rng_name, 0, 0);/~/	if (IS_ERR(big_key_rng)) {/~/		big_key_rng = NULL;/~/		return -EFAULT;/~/	ret = crypto_rng_reset(big_key_rng, NULL, crypto_rng_seedsize(big_key_rng));/~/	if (ret)/~/		goto error;/~/	big_key_skcipher = crypto_alloc_skcipher(big_key_alg_name,/~/						 0, CRYPTO_ALG_ASYNC);/~/	if (IS_ERR(big_key_skcipher)) {/~/		big_key_skcipher = NULL;/~/		ret = -EFAULT;/~/		goto error;/~/error:/~/	big_key_rng = NULL;","int ret = -EINVAL;/~/	/* init RNG */~/	big_key_rng = crypto_alloc_rng(big_key_rng_name, 0, 0);/~/	if (IS_ERR(big_key_rng)) {/~/		big_key_rng = NULL;/~/		return -EFAULT;/~/	ret = crypto_rng_reset(big_key_rng, NULL, crypto_rng_seedsize(big_key_rng));/~/	if (ret)/~/		goto error;/~/	big_key_skcipher = crypto_alloc_skcipher(big_key_alg_name,/~/						 0, CRYPTO_ALG_ASYNC);/~/	if (IS_ERR(big_key_skcipher)) {/~/		big_key_skcipher = NULL;/~/		ret = -EFAULT;/~/		goto error;/~/}",No Match,REV_034
10505,A4_Oracle,CWE-200,CWE-399,"			    iph->protocol,","iph->protocol,",Oracle,REV_035
13822,A1_FunctionOnly,CWE-362,CWE-399,"    RenderFrameHost* plugin_rfh,/~/    int32_t guest_instance_id,/~/    int32_t element_instance_id,/~/    bool is_full_page_plugin,/~/    ExtensionsGuestViewMessageFilter* filter)/~/    : content::WebContentsObserver(/~/          content::WebContents::FromRenderFrameHost(plugin_rfh)),/~/      frame_tree_node_id_(plugin_rfh->GetFrameTreeNodeId()),/~/      guest_instance_id_(guest_instance_id),/~/      element_instance_id_(element_instance_id),/~/      is_full_page_plugin_(is_full_page_plugin),/~/      filter_(filter),/~/      parent_site_instance_(plugin_rfh->GetParent()->GetSiteInstance()),/~/      weak_factory_(this) {/~/  DCHECK(GetGuestView());/~/  NavigateToAboutBlank();/~/  base::PostDelayedTaskWithTraits(/~/      FROM_HERE, {BrowserThread::UI},/~/      base::BindOnce(&ExtensionsGuestViewMessageFilter::FrameNavigationHelper::/~/                         CancelPendingTask,/~/                     weak_factory_.GetWeakPtr()),/~/      base::TimeDelta::FromMilliseconds(kAttachFailureDelayMS));/~/}","RenderFrameHost* plugin_rfh,/~/    int32_t guest_instance_id,/~/    int32_t element_instance_id,/~/    bool is_full_page_plugin,/~/    ExtensionsGuestViewMessageFilter* filter)/~/    : content::WebContentsObserver(/~/          content::WebContents::FromRenderFrameHost(plugin_rfh)),/~/      frame_tree_node_id_(plugin_rfh->GetFrameTreeNodeId()),/~/      guest_instance_id_(guest_instance_id),/~/      element_instance_id_(element_instance_id),/~/      is_full_page_plugin_(is_full_page_plugin),/~/      filter_(filter),/~/      parent_site_instance_(plugin_rfh->GetParent()->GetSiteInstance()),/~/      weak_factory_(this) {/~/  DCHECK(GetGuestView());/~/  NavigateToAboutBlank();/~/  base::PostDelayedTaskWithTraits(/~/      FROM_",N/A,REV_036
14212,A4_Oracle,CWE-362,CWE-399,"		     	rq = blk_mq_tag_to_rq(hctx->tags, off + bit);","rq = blk_mq_tag_to_rq(hctx->tags, off + bit);",Oracle,REV_037
12943,A4_Oracle,CWE-416,CWE-399,  DCHECK(delegate_);,DCHECK(delegate_);,Oracle,REV_038
13490,A3_FunctionLineCWE,CWE-476,CWE-399,		   const struct key_match_data *match_data),const struct key_match_data *match_data),Exact Match,REV_039
9129,A1_FunctionOnly,CWE-20,CWE-399,"  assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif","assert(pReader);/~/  assert(pos >= 0);/~/  int status;/~/  //#ifdef _DEBUG/~/  //    long long total, available;/~/  //    status = pReader->Length(&total, &available);/~/  //    assert(status >= 0);/~/  //    assert((total < 0) || (available <= total));/~/  //    assert(pos < available);/~/  //    assert((available - pos) >= 1);  //assume here max u-int len is 8/~/  //#endif/~/  status = pReader->Read(pos, 1, &b);/~/  //#ifdef _DEBUG/~/  //    assert((available - pos) >= len);/~/  //#endif",N/A,REV_040
10505,A1_FunctionOnly,CWE-200,CWE-399,"			    iph->protocol,","iph->protocol,",N/A,REV_041
17592,A4_Oracle,CWE-20,CWE-189,"			spin_lock_irq(&slave_active_lock);/~/			_snd_timer_stop(slave, 1, SNDRV_TIMER_EVENT_RESOLUTION);/~/			spin_unlock_irq(&slave_active_lock);","_snd_timer_stop(slave, 1, SNDRV_TIMER_EVENT_RESOLUTION);",Oracle,REV_042
8451,A1_FunctionOnly,CWE-125,CWE-189,"	int hdrlen;/~/		ND_PRINT((ndo, ""[|802.15.4] %x"", caplen));/~/	hdrlen = extract_header_length(fc);/~/	ND_PRINT((ndo,""IEEE 802.15.4 %s packet "", ftypes[fc & 0x7]));/~/	if (hdrlen == -1) {/~/		ND_PRINT((ndo,""invalid! ""));/~/		return caplen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	} else {/~/		uint16_t panid = 0;/~/		switch ((fc >> 10) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			return 0;/~/		case 0x02:/~/			panid = EXTRACT_LE_16BITS(p);/~/			p += 2;/~/			ND_PRINT((ndo,""%04x:%04x "", panid, EXTRACT_LE_16BITS(p)));/~/			p += 2;/~/			break;/~/		case 0x03:/~/			panid = EXTRACT_LE_16BITS(p);/~/			p += 2;/~/			ND_PRINT((ndo,""%04x:%s "", panid, le64addr_string(ndo, p)));/~/			p += 8;/~/			break;/~/		switch ((fc >> 14) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			return 0;/~/		case 0x02:/~/			if (!(fc & (1 << 6))) {/~/				panid = EXTRACT_LE_16BITS(p);/~/				p += 2;/~/			ND_PRINT((ndo,""%04x:%04x "", panid, EXTRACT_LE_16BITS(p)));/~/			break;/~/		case 0x03:/~/			if (!(fc & (1 << 6))) {/~/				panid = EXTRACT_LE_16BITS(p);/~/				p += 2;/~/                        ND_PRINT((ndo,""%04x:%s "", panid, le64addr_string(ndo, p)));/~/			p += 8;/~/			break;/~/		caplen -= hdrlen;/~/	return 0;","int hdrlen;/~/		ND_PRINT((ndo, ""[|802.15.4] %x"", caplen));/~/	hdrlen = extract_header_length(fc);/~/	if (hdrlen == -1) {/~/		ND_PRINT((ndo,""invalid! ""));/~/		return caplen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	}/~/	if (!ndo->ndo_vflag) {/~/		p+= hdrlen;/~/		caplen -= hdrlen;/~/	} else {/~/		uint16_t panid = 0;/~/		switch ((fc >> 10) & 0x3) {/~/		case 0x00:/~/			break;/~/		case 0x01:/~/			panid = EXTRACT_LE_16BITS(",N/A,REV_043
1188,A4_Oracle,CWE-399,CWE-189,"    VLOG(1) << ""...parsing request body"";/~/    std::string error;/~/    if (!ParseJSONDictionary(json, parameters, &error)) {/~/          ""Failed to parse command data: "" + error + ""\n  Data: "" + json));/~/  VLOG(1) << ""Parsed "" << method << "" "" << uri/~/        << std::string(request_info->post_data, request_info->post_data_len);","VLOG(1) << ""...parsing request body"";/~/    std::string error;/~/    if (!ParseJSONDictionary(json, parameters, &error)) {/~/          ""Failed to parse command data: "" + error + ""\n  Data: "" + json));/~/  VLOG(1) << ""Parsed "" << method << "" "" << uri/~/        << std::string(request_info->post_data, request_info->post_data_len);",Oracle,REV_044
8152,A2_FunctionLine,CWE-125,CWE-189,"        /* If we're assigning to this and we don't have a parent,/~/         * add it to the symbol table root */~/        if (!jsvGetRefs(lhs) && jsvIsName(lhs)) {/~/          if (!jsvIsArrayBufferName(lhs) && !jsvIsNewChild(lhs))/~/            jsvAddName(execInfo.root, lhs);/~/        }/~/        jspReplaceWith(lhs, rhs);",if (lex->tk==LEX_ARROW_FUNCTION) {/~/            if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if (lex->tk==LEX_ARROW_FUNCTION) {/~/                if,No Match,REV_045
14212,A3_FunctionLineCWE,CWE-362,CWE-399,"		     	rq = blk_mq_tag_to_rq(hctx->tags, off + bit);","rq = blk_mq_tag_to_rq(hctx->tags, off + bit);",Exact Match,REV_046
14212,A1_FunctionOnly,CWE-362,CWE-399,"		     	rq = blk_mq_tag_to_rq(hctx->tags, off + bit);","rq = blk_mq_tag_to_rq(hctx->tags, off + bit);",N/A,REV_047
9535,A4_Oracle,CWE-125,CWE-189,"		ND_TCHECK2(*(p + 2), 4);","ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/		ND_TCHECK2(*(p + 2), 4);/~/		ND_TCHECK2(*(p + 2), 2);/~/",Oracle,REV_048
14020,A3_FunctionLineCWE,CWE-399,CWE-362,"				    int nmi, struct perf_sample_data *data,/~/		if (__perf_event_overflow(event, nmi, throttle,","if (__perf_event_overflow(event, nmi, throttle,",Partial Match,REV_049
16923,A1_FunctionOnly,CWE-189,CWE-119,                  if (v == 255)/~/                  if (v == 255)/~/                  if (v == 255)/~/                  if (v == 255)/~/                  if (v == 255),if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                /* read the whole image */~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                /* read the whole image */~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if (im->data)/~/                if,N/A,REV_050
1173,A3_FunctionLineCWE,CWE-264,CWE-399,"  int shmkey = shmget(IPC_PRIVATE, 1, 0666);/~/  if (shmkey == -1)/~/  if (!result)","int shmkey = shmget(IPC_PRIVATE, 1, 0666);",Partial Match,REV_051
17365,A2_FunctionLine,CWE-399,CWE-399,    scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(/~/        GetActiveInputMethods());,scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(,Partial Match,REV_052
13822,A4_Oracle,CWE-362,CWE-399,"    RenderFrameHost* plugin_rfh,/~/    int32_t guest_instance_id,/~/    int32_t element_instance_id,/~/    bool is_full_page_plugin,/~/    ExtensionsGuestViewMessageFilter* filter)/~/    : content::WebContentsObserver(/~/          content::WebContents::FromRenderFrameHost(plugin_rfh)),/~/      frame_tree_node_id_(plugin_rfh->GetFrameTreeNodeId()),/~/      guest_instance_id_(guest_instance_id),/~/      element_instance_id_(element_instance_id),/~/      is_full_page_plugin_(is_full_page_plugin),/~/      filter_(filter),/~/      parent_site_instance_(plugin_rfh->GetParent()->GetSiteInstance()),/~/      weak_factory_(this) {/~/  DCHECK(GetGuestView());/~/  NavigateToAboutBlank();/~/  base::PostDelayedTaskWithTraits(/~/      FROM_HERE, {BrowserThread::UI},/~/      base::BindOnce(&ExtensionsGuestViewMessageFilter::FrameNavigationHelper::/~/                         CancelPendingTask,/~/                     weak_factory_.GetWeakPtr()),/~/      base::TimeDelta::FromMilliseconds(kAttachFailureDelayMS));/~/}","RenderFrameHost* plugin_rfh,/~/    int32_t guest_instance_id,/~/    int32_t element_instance_id,/~/    bool is_full_page_plugin,/~/    ExtensionsGuestViewMessageFilter* filter)/~/    : content::WebContentsObserver(/~/          content::WebContents::FromRenderFrameHost(plugin_rfh)),/~/      frame_tree_node_id_(plugin_rfh->GetFrameTreeNodeId()),/~/      guest_instance_id_(guest_instance_id),/~/      element_instance_id_(element_instance_id),/~/      is_full_page_plugin_(is_full_page_plugin),/~/      filter_(filter),/~/      parent_site_instance_(plugin_rfh->GetParent()->GetSiteInstance()),/~/      weak_factory_(this) {/~/  DCHECK(GetGuestView());/~/  NavigateToAboutBlank();/~/  base::PostDelayedTaskWithTraits(/~/      FROM_",Oracle,REV_053
17365,A1_FunctionOnly,CWE-399,CWE-399,    scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(/~/        GetActiveInputMethods());,scoped_ptr<InputMethodDescriptors> active_input_method_descriptors(,N/A,REV_054
